Peaje_key,Admon,Nombre,Nombre_proyecto,Responsable,Telefono,Telefono_gerente,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,eje_adicional,eje_adicional_2
MATA DE CAÑA-Concesión Ruta al Mar,Concesión Ruta al Mar,MATA DE CAÑA,IP - ANTIOQUIA BOLIVAR,Concesión ANI,3102468199 - 3145007265,3216177100,12300,18200,18200,18200,19500,28300,28400,0,0,0,0
LAS FLORES-Concesión Autopistas de la Sabana Córdoba - Sucre,Concesión Autopistas de la Sabana Córdoba - Sucre,LAS FLORES,CÓRDOBA - SUCRE,Concesión ANI,3124964386,3184095455 – 3182406622,4500,12000,18600,23600,27100,0,0,0,0,0,0
LA ESPERANZA-Concesión Autopistas de la Sabana Córdoba - Sucre,Concesión Autopistas de la Sabana Córdoba - Sucre,LA ESPERANZA,CÓRDOBA - SUCRE,Concesión ANI,3124964386,3184095455 – 3182406622,8200,8900,19200,24300,27400,0,0,0,0,8400,8700
RINCON HONDO-INVIAS,INVIAS,RINCON HONDO,IP - CESAR - GUAJIRA,INVIAS,-1,-1,9300,9900,10800,11500,12400,35600,40800,0,0,0,0
CAIMANERA-Concesión Ruta al Mar,Concesión Ruta al Mar,CAIMANERA,IP - ANTIOQUIA BOLIVAR,Concesión ANI,3153483271,3216177100,12300,18200,18200,18200,19500,28300,28400,0,0,0,0
LA LOMA-Concesión Yuma,Concesión Yuma,LA LOMA,RUTA DEL SOL SECTOR 3,Concesión ANI,3158210547,018000945566 Opción 1,8100,9000,19500,25100,28500,0,0,0,0,8700,9000
EL CARMEN-Autopista de la sabana,Autopista de la sabana,EL CARMEN,PUERTA DE HIERRO - CRUZ DEL VISO,Concesión ANI,3162954845,3162954845 - #270 Claro,8800,9600,20100,25600,28800,0,0,0,0,8400,8700
PUENTE PLATO-Concesión (Yuma),Concesión (Yuma),PUENTE PLATO,RUTA DEL SOL SECTOR 3,Concesión ANI,3165280403,018000945566 Opción 1,9200,11400,24100,34100,36600,0,0,0,0,8700,9000
EL DIFICIL-Concesión (Yuma),Concesión (Yuma),EL DIFICIL,RUTA DEL SOL SECTOR 3,Concesión ANI,3165298176,018000945566 Opción 1,9200,11400,24100,34100,36600,0,0,0,0,8700,9000
SAN ONOFRE-Concesión Ruta al Mar,Concesión Ruta al Mar,SAN ONOFRE,IP - ANTIOQUIA BOLIVAR,Concesión ANI,3104320955,3216177100,12600,18600,18600,18600,33600,53600,61800,0,0,0,0
EL COPEY-Yuma concecionaria,Yuma concecionaria,EL COPEY,RUTA DEL SOL SECTOR 3,Concesión ANI,3165280504,018000945566 Opción 1,7900,8700,20300,26700,30900,0,0,0,0,9100,9500
SAN DIEGO-INVIAS,INVIAS,SAN DIEGO,IP - CESAR - GUAJIRA,INVIAS,-1,-1,4600,5000,5500,5900,12300,35600,40500,0,0,0,0
GAMBOTE-Ruta Caribe,Ruta Caribe,GAMBOTE,RUTA CARIBE,Concesión ANI,3212057230,3212057227,8000,8900,19800,26400,30200,0,0,0,0,8400,8700
CALAMAR-Concesión Montes de Maria,Concesión Montes de Maria,CALAMAR,PUERTA DE HIERRO - CRUZ DEL VISO,Concesión ANI,3162954845,3162954845 - #270 Claro,8300,9000,19200,24400,27400,0,0,0,0,8400,8700
PASACABALLOS-AUTOPISTAS DEL SOL S.A.,AUTOPISTAS DEL SOL S.A.,PASACABALLOS,RUTA CARIBE,Concesión ANI,-1,-1,8100,8800,18700,24400,28300,28300,28300,0,0,0,0
