Peaje_key,Admon,Nombre,Nombre_proyecto,Responsable,Telefono,Telefono_gerente,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,eje_adicional,eje_adicional_2
SANTAGUEDA-CONCESION AUTOPISTAS DEL CAFE,CONCESION AUTOPISTAS DEL CAFE,SANTAGUEDA,ARMENIA-PEREIRA-MANIZALES,Concesión ANI,(6) 3282720,3138176567 #850,10400,12600,12600,12600,30700,38400,44600,0,0,0,0
CAIQUERO-CONCESION SABANA DE OCCIDENTE,CONCESION SABANA DE OCCIDENTE,CAIQUERO,BOGOTÁ - SIBERIA - LA PUNTA - EL VINO - VILLETA,Concesión ANI,5939260 ---------3185577768---------- 3102613190----------- 3002149460,5939260,9300,12100,30000,36100,41500,0,0,0,0,8900,9300
MACHETA-CONCESION DEL SISGA S.A.S.,CONCESION DEL SISGA S.A.S.,MACHETA,TRANSVERSAL DEL SISGA,Concesión ANI,320 928 4913 - 321 964 0314,320 928 4913 - 321 964 0314,8500,9200,19500,24700,27700,0,0,0,0,8400,8700
CAMBAO-Concesión Alto Magdalena,Concesión Alto Magdalena,CAMBAO,GIRARDOT - HONDA - PUERTO SALGAR,Concesión ANI,3219738507,3219738507,9900,14000,19200,25700,36400,59000,67400,0,0,0,0
CASABLANCA-INVIAS,INVIAS,CASABLANCA,ZIPAQUIRÁ - PALENQUE,INVIAS,-1,-1,8200,8900,22900,28500,33300,0,0,0,0,9300,9500
HONDA-Concesionaria Alternativas Viales SAS.,Concesionaria Alternativas Viales SAS.,HONDA,IP - CAMBAO-MANIZALES,Concesión ANI,3506666383 - 3506666384 - 3506666385,350 666-6375 - 350666-6386,10700,11400,11900,12400,26500,36200,39200,0,0,0,0
ALBARRACIN-Concesión Briceño - Tunja - Sogamoso,Concesión Briceño - Tunja - Sogamoso,ALBARRACIN,BRICEÑO - TUNJA - SOGAMOSO,Concesión ANI,3174340875,3203083341,8000,8900,23000,28500,33500,0,0,0,0,6800,8200
SUPIA-Concesión Pacífico Tres,Concesión Pacífico Tres,SUPIA,AUTOPISTA CONEXIÓN PACIFICO 3,Concesión ANI,3219738470,LINEA GRATUITA: 018000423780 LINEA CELULAR: 3219738470,8300,9000,19200,24400,27400,0,0,0,0,8400,8700
EL KORAN-CONCESION HELIOS,CONCESION HELIOS,EL KORAN,RUTA DEL SOL 1,Concesión ANI,(1) 5188489,3185166166 / 018000914181,12800,18000,25400,53100,66000,78300,0,0,0,8800,9100
TUTA-Concesión Briceño - Tunja - Sogamoso,Concesión Briceño - Tunja - Sogamoso,TUTA,BRICEÑO - TUNJA - SOGAMOSO,Concesión ANI,3174340959,3174422284     /  3174422284,8000,8900,23000,28500,33500,0,0,0,0,6800,8200
SABOYA-INVIAS,INVIAS,SABOYA,ZIPAQUIRÁ - PALENQUE,INVIAS,-1,-1,8200,8900,22900,28500,33300,0,0,0,0,9300,9500
LA PINTADA-Concesión Pacifico Tres S.A.S.,Concesión Pacifico Tres S.A.S.,LA PINTADA,AUTOPISTA CONEXIÓN PACIFICO 2,Concesión ANI,3173673153,3185018100  - #272 Claro Movistar y Tigo,8300,9000,19200,24400,27400,0,0,0,0,8400,8700
PRIMAVERA-CONCESION LA PINTADA S.A.S. (ODINSA),CONCESION LA PINTADA S.A.S. (ODINSA),PRIMAVERA,AUTOPISTA CONEXIÓN PACIFICO 2,Concesión ANI,3173673153,3185018100  - #272 Claro Movistar y Tigo,8300,9000,19200,24400,27400,0,0,0,0,8400,8700
AMAGA-Concesión Vial del Pacífico,Concesión Vial del Pacífico,AMAGA,AUTOPISTA CONEXIÓN PACIFICO 1,Concesión ANI,3207103032,3207103032,8300,9000,19200,24400,27400,0,0,0,0,8400,8700
COCORNA-,,COCORNA,DESARROLLO VIAL DEL ORIENTE DE MEDELLÍN,INVIAS,-1,-1,12100,19100,16700,20800,41600,59300,59300,0,0,0,0
LAS PALMAS-Concesión Túnel Aburrá - Oriente S.A.,Concesión Túnel Aburrá - Oriente S.A.,LAS PALMAS,DESARROLLO VIAL DEL ORIENTE DE MEDELLÍN,Concesión ANI,(4) 4446178 - 2228085 - 4602225,(4) 4446178 - 2228085 - 4602225,8700,10500,10500,10500,23300,31400,35100,0,0,0,0
OIBA-Invias,Invias,OIBA,ZIPAQUIRÁ - PALENQUE,INVIAS,-1,-1,8200,8900,22900,28500,33300,0,0,0,0,9300,9500
ZAMBITO-Concesionaria Ruta Del Sol,Concesionaria Ruta Del Sol,ZAMBITO,RUTA DEL SOL SECTOR 2,INVIAS,3165298178,-1,10500,13300,31200,37400,43900,0,0,0,0,9300,9500
