"row ID";"?Admon";"Cod Via";"Departamento";"Gcd Departamento";"Nombre";"Nombre Proyecto";"Responsable";"Sector";"Sigla Proyecto";"Telefono";"Telefono G";"Ubicacion";"2016AbrRecaudo";"2016AbrTrafico";"2016AgoRecaudo";"2016AgoTrafico";"2016DicRecaudo";"2016DicTrafico";"2016EneRecaudo";"2016EneTrafico";"2016FebRecaudo";"2016FebTrafico";"2016JulRecaudo";"2016JulTrafico";"2016JunRecaudo";"2016JunTrafico";"2016MarRecaudo";"2016MarTrafico";"2016MayRecaudo";"2016MayTrafico";"2016NovRecaudo";"2016NovTrafico";"2016OctRecaudo";"2016OctTrafico";"2016SepRecaudo";"2016SepTrafico";"2017AbrRecaudo";"2017AbrTrafico";"2017AgoRecaudo";"2017AgoTrafico";"2017DicRecaudo";"2017DicTrafico";"2017EneRecaudo";"2017EneTrafico";"2017FebRecaudo";"2017FebTrafico";"2017JulRecaudo";"2017JulTrafico";"2017JunRecaudo";"2017JunTrafico";"2017MarRecaudo";"2017MarTrafico";"2017MayRecaudo";"2017MayTrafico";"2017NovRecaudo";"2017NovTrafico";"2017OctRecaudo";"2017OctTrafico";"2017SepRecaudo";"2017SepTrafico";"2018AbrRecaudo";"2018AbrTrafico";"2018AgoRecaudo";"2018AgoTrafico";"2018DicRecaudo";"2018DicTrafico";"2018EneRecaudo";"2018EneTrafico";"2018FebRecaudo";"2018FebTrafico";"2018JulRecaudo";"2018JulTrafico";"2018JunRecaudo";"2018JunTrafico";"2018MarRecaudo";"2018MarTrafico";"2018MayRecaudo";"2018MayTrafico";"2018NovRecaudo";"2018NovTrafico";"2018OctRecaudo";"2018OctTrafico";"2018SepRecaudo";"2018SeptTrafico";"Cat 1";"Cat 2";"Cat 3";"Cat 4";"Cat 5";"Cat 6";"Cat 7";"Cat 8";"Cat 9";"Eje Adic 2";"Eje Adicio";"Latitud";"Longitud"
"Row41";"CONCESION DEVISAB";"4702";"Cundinamarca";25;"SAN PEDRO";"VILLAVICENCIO-YOPAL";"Departamento";"La Mesa - Anapoima";"VY";"#815 Tigo  018000953550";"#815 Tigo  018000953550";"Chía - La Mesa - Girardot Km.61 Jurisdicción del Municipio de la Mesa";761539300;65591;885257600;74179;916746400;83320;855126200;85122;747969900;65585;790850200;70869;794948400;69837;833619100;74338;763046000;68147;832910000;71301;845479300;73338;831770700;66609;939085100;"2565,166667";1123273400;"2710,645161";1053106000;"2828,870968";946494600;"2720,387097";789358800;"2287,464286";928009500;"2443,741935";917259450;"2527,6";920208400;"2363,806452";984774800;"2476,612903";973390200;"2523";984900600;"2502";1126174400;"2720,9";958475400;72343;1194884800;87461;1174569250;91236;1040651800;86552;873915400;66689;1084161600;80658;1018936700;76355;974299800;76136;1050638200;77115;1067705500;78649;1032662900;79908;1087298100;77080;10500;11700;13500;18200;39200;51000;58900;0;0;0;0;"4,593993102";"-74,48647417"
"Row42";"INVIAS – VIPSA";"5009";"Cundinamarca";25;"PATIOS";"PERIMETRAL DE ORIENTE DE CUNDINAMARCA";"Concesión ANI";"Bogotá (Los Patios) - Guasca";"POC";"3118179035";"3102399451, 3162340275, #762 y 018000181762";"La Calera – Briceño Km 0+050";1113595050;145237;1129424650;145099;1201833100;152842;1078544650;142677;1060150050;137255;1124097800;143789;1135001900;145847;1116714250;143846;1180269100;153732;1098610300;140530;1137202600;145712;1121783050;143766;1147680950;"4582,166667";1144741000;"4426,483871";1170612500;"4478,322581";1122184350;"4457,870968";1097254950;"4720,642857";1099673050;"4274,129032";1120332450;"4482,666667";1185279300;"4610,129032";1190679350;"4619,354839";1074176250;"4271,533333";1078632350;"4159";1085334450;"4325,633333";1114683050;126293;1014979900;113652;1267051700;141107;1086753000;126042;1053416100;119737;938544300;105789;1073172750;120884;1186997350;134256;1144455700;129445;1099381250;123116;1052101550;118015;1016188650;113956;9600;15100;23400;34300;46900;47300;0;0;0;8400;8700;"4,663724514";"-74,01057918"
"Row44";"Concesiónaria Vial del Oriente - COVIORIENTE S.A.S";"6511";"Casanare";85;"SAN PEDRO";"VILLAVICENCIO-YOPAL";"Concesión ANI";"Barranca de Upía - Monterrey";"VY";"3168341260";"3178942293  - 018000180818";"Villanueva - Monterrey Km.15+000";761539300;65591;885257600;74179;916746400;83320;855126200;85122;747969900;65585;790850200;70869;794948400;69837;833619100;74338;763046000;68147;832910000;71301;845479300;73338;831770700;66609;939085100;"2565,166667";1123273400;"2710,645161";1053106000;"2828,870968";946494600;"2720,387097";789358800;"2287,464286";928009500;"2443,741935";917259450;"2527,6";920208400;"2363,806452";984774800;"2476,612903";973390200;"2523";984900600;"2502";1126174400;"2720,9";958475400;72343;1194884800;87461;1174569250;91236;1040651800;86552;873915400;66689;1084161600;80658;1018936700;76355;974299800;76136;1050638200;77115;1067705500;78649;1032662900;79908;1087298100;77080;8400;9100;19400;24700;27600;0;0;0;0;8400;8700;"4,678585529";"-72,9437707"
"Row45";"Concesión Autopistas del café";"2901";"Quindío";63;"CIRCASIA";"ARMENIA-PEREIRA-MANIZALES";"Concesión ANI";"Armenia-Pereira";"APM";"(6) 3282720 3138176567 #850";"602 22 33";"Vía Armenia - Pereira Km. 16+750";2725188800;196234;3204525450;230308;3675874300;269845;3614918500;272350;2675283600;191931;3220751150;237731;3021552700;219414;3233860750;237172;2984502550;216590;3113659120;224161;3222635250;233360;2906311100;207972;3453043050;"7992,266667";3476868900;"7736,935484";4130670750;"9293,096774";3953163400;"9059,516129";2888930300;"7006,857143";3562876200;"7939,645161";3384741200;"7778,3";3176046650;"7005,709677";3159697000;"7020,387097";3441269350;"7780,2";3517923370;"7765,741935";3195157400;"7250,3";3356896500;219547;3771508400;247892;4494666650;300383;4267344100;289888;3116539000;203841;3868945900;256688;3051586300;199905;3802843200;254102;3410025000;222486;3679215050;240944;3772124800;247173;3540187200;230464;13800;17600;17600;17600;42900;52600;58600;0;0;0;0;"4,698355839";"-75,60610872"
"Row46";"CONCESION CCFC S.A";"5008A";"Cundinamarca";25;"RIO BOGOTA";"FONTIBÓN - FACATATIVÁ - LOS ALPES";"Concesión ANI";"Los Alpes - Madrid - Bogotá (Rio Bogotá)";"FFA";"3792200 – 8930977";"300 2134184 - 310 3042774 - #235 Tigo, Movistar y Claro";"Peaje Río Bogotá – Facatativá – Villeta – Vianí – Cambao Km 0+700 Jurisdicción del Municipio de Mosquera";4990199900;735962;5182408000;770933;5393722300;813290;4961509200;714286;4982415900;711530;4883636400;750798;4969581400;739632;5115309000;740442;5063535000;760224;4916755200;743670;5066872100;767333;4962313700;746908;5296282400;"25070,53333";5484293700;"25361,51613";5912242700;"27339,90323";5077110100;"23510,48387";4882660900;"24794,67857";5495908200;"25377,77419";5332181100;"25317,36667";5459294200;"25076,41935";5393692800;"25069,03226";5412315900;"25709,33333";5465271000;"25218,87097";5230989100;"24977,73333";5182971400;728417;6082898900;819476;6569046900;883196;5436792500;743777;5202437300;708900;5961525800;799442;5882285500;796714;5791713000;792520;5902206200;804820;6056332300;797097;6202894400;817909;5908303800;791831;8000;12000;10400;13900;23600;31900;34500;0;0;0;0;"4,698590601";"-74,17942941"
"Row48";"CONCESION CCFC S.A";"5008A";"Cundinamarca";25;"CORZO";"FONTIBÓN - FACATATIVÁ - LOS ALPES";"Concesión ANI";"Los Alpes - Madrid - Bogotá (Rio Bogotá)";"FFA";"3792200 – 8930977 300 2134184 - 310 3042774 - #235 Tigo, Movistar y Claro";"(571) 893 09 77";"Peaje Río Bogotá – Facatativá – Villeta – Vianí – Cambao Km 17 Jurisdicción del Municipio de Madrid";2276830300;270446;2443266600;299599;2473830200;307317;2511709000;298387;2267016000;264622;2214267200;288443;2278792600;279452;2338730700;282953;2355862100;288836;2338463600;289426;2460320800;301450;2347396300;288888;2448345200;"9589,6";2542840800;"9772,967742";2590559700;"9937,741935";2593491000;"9976,83871";2319924700;"9645,678571";2601978700;"9967,967742";2484071500;"9688,333333";2524187200;"9505,580645";2529877800;"9711,645161";2457966100;"9624,033333";2545815900;"9641,354839";2401209400;"9449,566667";2325533500;273396;2684811300;303272;2799657500;314172;2691786700;309681;2345311200;267127;2742124100;308166;2554891000;288437;2619390200;296647;2585954650;294099;2676401500;292525;2758442600;304566;2626786600;293726;8000;12000;10400;13900;23600;31900;34500;0;0;0;0;"4,748678791";"-74,29116513"
"Row49";"CONCESION SABANA DE OCCIDENTE";"5008";"Cundinamarca";25;"SIBERIA";"BOGOTÁ - SIBERIA - LA PUNTA - EL VINO - VILLETA";"Concesión ANI";"Villeta - Bogotá";"SV";"5939260 – 3185577768 – 3102613190 - 3002149460";"5939260";"Bogotá (El Cortijo) – Siberia – La Punta – El Vino – Villeta";4849502500;453812;5382663500;509549;5885660300;577447;5765465800;593082;4637033700;434027;5715199200;549385;5275830900;504687;5428431300;521217;5272959500;506815;5121574700;489411;5387707900;517612;4874961500;457250;5539743000;"17252,13333";5741485500;"16980,22581";6650441200;"20120,87097";5972806000;"18577,54839";4650096500;"14894,5";5765286900;"17110,58065";5569427400;"17214,56667";5214721500;"15244,29032";5366524700;"15689,41935";5690321000;"17231,13333";5837034200;"17218,77419";5198974300;"15719,8";5539762400;480563;6214521600;543760;7088451900;636909;6544320100;601053;5119903100;440175;6338876200;558465;6033830200;532519;6072689200;539342;5688328100;492264;6031481900;525803;6142474200;537613;5754896300;498169;10000;14300;12000;16000;28100;37700;41400;5200;7200;0;0;"4,780359837";"-74,18504777"
"Row50";"Concesionaria de Occidente";"2506";"Risaralda";66;"CERRITOS II";"PEREIRA - LA VICTORIA";"Concesión ANI";"La Victoria - Cartago - Cerritos";"PL";"3128509233 - 3113042754 - 3132158";"CARRO TALLER 3104044111 GRUAS 313 8280776 / 77";"Vía Andalucía – Y de Cerritos PR2506 Km 86";4119695600;290987;4954975000;338022;5058957200;370572;4714358000;356980;4097020700;285596;4249902900;317057;3984680800;293582;4586220300;331024;4349791600;310210;4513560600;320480;4588172300;324704;4413753300;303469;4642371300;"10728,2";4915822800;"10713,03226";5379759700;"12279,45161";5022918800;"11729,09677";4209239700;"10024,25";4961672400;"10844,51613";4745640000;"10563,56667";4550748400;"10002,67742";4437923000;"9879,193548";4788213700;"10766,76667";4800028500;"10478,83871";4524543300;"10058,73333";4401721150;297504;4890020600;328785;5280333750;366352;5175572200;365220;3895081700;270068;4848675600;329930;4470376800;304340;4445654500;318382;4416009600;296904;4677686050;314930;4756155700;319386;4466797900;297487;12000;13800;34000;44600;51000;0;0;0;0;15000;15200;"4,793408209";"-75,85996286"
"Row51";"PERIMETRAL ORIENTAL DE BOGOTA S.A.S";"5009";"Cundinamarca";25;"LA CABAÑA";"PERIMETRAL DE ORIENTE DE CUNDINAMARCA";"Concesión ANI";"Bogotá (Los Patios) - Guasca";"POC";"3112178121";"3102399451, 3162340275, #762 y 018000181762";"La Calera – Briceño Km 21+800";568770850;50772;610052800;56902;603612800;56251;585372850;59250;551414550;50147;566115900;57389;592024100;55660;623768200;57752;602398300;58128;589651000;53610;599373300;55783;556740250;51633;629702100;"1830,2";651228700;"1684,645161";601738700;"1639,741935";663489650;"1853,516129";614347750;"1796,428571";629118100;"1667,096774";598766000;"1633,066667";666410850;"1729,548387";659312050;"1721,645161";607546350;"1584,933333";638840900;"1639,322581";608856800;"1571,766667";567567750;41754;515975000;32202;622371100;52613;642216600;51172;585276200;42861;497445650;30919;499978000;32871;625390250;47801;542726050;37042;572372850;45235;554701550;40209;525957000;35393;9600;15100;23400;34300;46900;47300;0;0;0;8400;8700;"4,809532136";"-73,94553287"
"Row52";"CONCESION ACCENORTE";"5501";"Cundinamarca";25;"ANDES";"IP - ACCESOS NORTE";"Concesión ANI";"Bogotá - Chocontá";"DVN";"6760652 - 6762948  3125194023 – 3125196546";"676 06 52";"Bogotá – Albarracín Km 2+600";9415170700;1025509;10124754700;1103631;11289089550;1247473;9341236050;1036048;9225758450;1001589;9328062400;1047928;9432692900;1039355;9642000100;1058358;9716389200;1066629;10078784000;1094885;10282978900;1119480;10043278500;1076323;10235129800;"35576,56667";11118015000;"36997,58065";11839252300;"40241,87097";10282652200;"34749";9721834100;"35589,07143";10830009500;"36150,06452";10594031200;"36571,93333";10595682000;"35253,12903";10646481600;"35533,83871";10814534500;"37311,6";11089080700;"36492,67742";10668350600;"36328";10816977600;1075302;12102361800;1170456;12552733500;1245613;10709340300;1088479;10219396200;1013585;11232762300;1113533;11208580800;1117738;11336499100;1141929;11472514050;1141293;11426322300;1097962;11774805400;1131615;11508458600;1109877;8700;15000;9600;21800;33100;42700;47300;0;0;0;0;"4,830120102";"-74,03307343"
