No.;SiglaProyecto;NombreProyecto;NombreEstacionPeaje; 2016Ene ; 2016Feb ; 2016Mar ; 2016Abr ; 2016May ; 2016Jun ; 2016Jul ; 2016Ago ; 2016Sep ; 2016Oct ; 2016Nov ; 2016Dic ; 2017Ene ; 2017Feb ; 2017Mar ; 2017Abr ; 2017May ; 2017Jun ; 2017Jul ; 2017Ago ; 2017Sep ; 2017Oct ; 2017Nov ; 2017Dic ; 2018Ene ; 2018Feb ; 2018Mar ; 2018Abr ; 2018May ; 2018Jun ; 2018Jul ; 2018Ago ; 2018Sept ; 2018Oct ; 2018Nov ; 2018Dic 
101;RM;AUTOPISTAS AL RÍO MAGDALENA 2;PUERTO BERRIO; 54.698 ; 37.056 ; 46.528 ; 38.652 ; 42.022 ; 45.195 ; 45.056 ; 44.723 ; 40.546 ; 46.189 ; 44.390 ; 55.099 ; 1.958 ; 1.385 ; 1.371 ; 1.549 ; 1.349 ; 1.473 ; 1.452 ; 1.386 ; 1.391 ; 1.483 ; 1.486 ; 1.873 ; 60.148 ; 40.511 ; 48.889 ; 46.666 ; 46.222 ; 53.995 ; 50.340 ; 48.233 ; 46.965 ; 51.494 ; 48.311 ; 60.096 
102;BBY;BUCARAMANGA - BARRANCABERMEJA - YONDÓ;RIO SOGAMOSO; 165.769 ; 137.965 ; 152.381 ; 139.862 ; 144.753 ; 148.031 ; 155.475 ; 152.476 ; 145.218 ; 149.761 ; 145.671 ; 171.852 ; 5.366 ; 4.744 ; 4.582 ; 4.821 ; 4.489 ; 4.823 ; 4.851 ; 4.749 ; 4.685 ; 4.954 ; 4.995 ; 3.313 ; 112.962 ; 114.889 ; 137.239 ; 132.045 ; 131.497 ; 138.800 ; 142.366 ; 141.883 ; 130.827 ; 138.482 ; 137.159 ; 163.816 
103;BP;BUCARAMANGA - PAMPLONA;EL PICACHO; -   ; -   ; -   ; -   ; -   ; -   ; 63.458 ; 67.890 ; 62.212 ; 67.676 ; 65.586 ; 78.025 ; 2.546 ; 2.136 ; 2.061 ; 2.327 ; 2.137 ; 2.235 ; 2.260 ; 2.239 ; 2.185 ; 2.372 ; 2.351 ; 2.711 ; 82.269 ; 59.850 ; 71.445 ; 69.528 ; 51.792 ; 68.859 ; 73.328 ; 71.906 ; 66.187 ; 71.078 ; 67.532 ; 87.229 
104;BL;BUGA - LOBOGUERRERO;LOBOGUERRERO; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 114.614 ; 159.694 ; 162.914 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
105;CB2;CARTAGENA - BARRANQUILLA CIRCUNVALAR DE LA PROSPERIDAD;GALAPA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 7.029 
106;CB2;CARTAGENA - BARRANQUILLA CIRCUNVALAR DE LA PROSPERIDAD;JUAN MINA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
107;M1;CONCESIÓN AUTOPISTA AL MAR 1;PALMITAS; -   ; -   ; -   ; -   ; -   ; -   ; 113.653 ; 102.756 ; 94.356 ; 114.494 ; 103.254 ; 111.372 ; 4.675 ; 3.267 ; 3.219 ; 3.621 ; 3.354 ; 3.641 ; 3.880 ; 3.413 ; 3.243 ; 3.661 ; 3.692 ; 4.326 ; 122.738 ; 91.246 ; 114.366 ; 102.598 ; 110.179 ; 132.218 ; 128.548 ; 108.994 ; 105.747 ; 114.501 ; 111.665 ; 137.566 
108;M1;CONCESIÓN AUTOPISTA AL MAR 1;SAN CRISTOBAL; -   ; -   ; -   ; -   ; -   ; -   ; 111.671 ; 102.953 ; 95.336 ; 113.155 ; 103.944 ; 136.925 ; 4.202 ; 3.275 ; 3.242 ; 3.873 ; 3.101 ; 3.756 ; 3.795 ; 3.441 ; 3.336 ; 3.527 ; 3.680 ; 4.825 ; 115.449 ; 92.218 ; 123.030 ; 95.059 ; 100.790 ; 140.738 ; 116.300 ; 109.774 ; 102.910 ; 114.361 ; 111.805 ; 153.358 
109;GHP;GIRARDOT - HONDA - PUERTO SALGAR;BRISAS; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
110;GHP;GIRARDOT - HONDA - PUERTO SALGAR;CAMBAO; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3.637 ; 8.251 ; 8.460 ; 6.788 ; 6.573 ; 8.637 ; 9.907 ; 11.241 ; 10.839 ; 13.427 ; 13.785 ; 22.697 
