No.;SiglaProyecto;NombreProyecto;NombreEstacionPeaje; 2016Ene ; 2016Feb ; 2016Mar ; 2016Abr ; 2016May ; 2016Jun ; 2016Jul ; 2016Ago ; 2016Sep ; 2016Oct ; 2016Nov ; 2016Dic ; 2017Ene ; 2017Feb ; 2017Mar ; 2017Abr ; 2017May ; 2017Jun ; 2017Jul ; 2017Ago ; 2017Sep ; 2017Oct ; 2017Nov ; 2017Dic ; 2018Ene ; 2018Feb ; 2018Mar ; 2018Abr ; 2018May ; 2018Jun ; 2018Jul ; 2018Ago ; 2018Sept ; 2018Oct ; 2018Nov ; 2018Dic 
131;IP-MVM;IP - MALLA VIAL DEL META;LA LIBERTAD; 122.073 ; 96.967 ; 101.485 ; 91.502 ; 92.884 ; 91.569 ; 94.790 ; 95.629 ; 91.219 ; 96.307 ; 91.693 ; 104.334 ; 3.563 ; 2.949 ; 2.996 ; 3.076 ; 2.894 ; 3.017 ; 2.962 ; 3.140 ; 2.884 ; 3.007 ; 3.167 ; 3.525 ; 110.693 ; 87.220 ; 101.601 ; 94.072 ; 97.645 ; 95.810 ; 97.044 ; 97.142 ; 91.356 ; 99.182 ; 99.204 ; 110.471 
132;IP-MVM;IP - MALLA VIAL DEL META;OCOA; 343.303 ; 260.550 ; 287.434 ; 256.722 ; 273.333 ; 267.507 ; 272.888 ; 276.056 ; 259.747 ; 289.876 ; 280.205 ; 316.550 ; 10.384 ; 8.841 ; 8.883 ; 9.194 ; 8.551 ; 8.316 ; 8.672 ; 9.067 ; 8.421 ; 9.197 ; 9.135 ; 10.139 ; 312.655 ; 226.355 ; 279.828 ; 257.296 ; 262.948 ; 267.758 ; 279.347 ; 269.267 ; 266.521 ; 297.714 ; 287.157 ; 330.469 
133;IP-MVM;IP - MALLA VIAL DEL META;YUCAO; -   ; -   ; -   ; 13.858 ; 31.195 ; 29.592 ; 26.848 ; 29.389 ; 28.730 ; 30.060 ; 29.259 ; 33.194 ; 1.221 ; 1.019 ; 1.063 ; 1.026 ; 1.026 ; 991 ; 1.006 ; 1.045 ; 1.048 ; 1.024 ; 1.119 ; 1.161 ; 38.143 ; 28.846 ; 33.241 ; 32.290 ; 35.395 ; 32.374 ; 33.799 ; 34.938 ; 33.305 ; 35.828 ; 37.878 ; 40.667 
134;IP-NEG;IP - NEIVA GIRARDOT;EL PATA; -   ; -   ; -   ; -   ; -   ; 41.298 ; 122.051 ; 110.620 ; 97.886 ; 115.023 ; 109.246 ; 139.593 ; 4.447 ; 3.163 ; 3.234 ; 3.960 ; 3.230 ; 4.005 ; 4.084 ; 3.546 ; 3.269 ; 3.702 ; 3.653 ; 4.714 ; 143.371 ; 89.177 ; 119.658 ; 102.212 ; 101.423 ; 122.572 ; 126.207 ; 110.736 ; 99.276 ; 117.698 ; 112.811 ; 145.866 
135;IP-NEG;IP - NEIVA GIRARDOT;FLANDES; -   ; -   ; -   ; -   ; -   ; 64.054 ; 208.313 ; 175.043 ; 156.165 ; 183.619 ; 171.610 ; 218.517 ; 7.307 ; 5.097 ; 5.281 ; 6.306 ; 5.346 ; 6.625 ; 6.817 ; 5.856 ; 5.269 ; 5.849 ; 5.740 ; 7.395 ; 225.875 ; 141.382 ; 188.927 ; 158.724 ; 159.660 ; 195.445 ; 207.789 ; 182.641 ; 159.812 ; 188.083 ; 177.255 ; 231.138 
136;IP-NEG;IP - NEIVA GIRARDOT;NEIVA; -   ; -   ; -   ; -   ; -   ; 55.020 ; 159.841 ; 150.264 ; 138.367 ; 158.030 ; 152.202 ; 182.920 ; 5.679 ; 4.408 ; 4.476 ; 5.103 ; 4.465 ; 5.308 ; 5.370 ; 4.848 ; 4.561 ; 5.077 ; 5.038 ; 6.136 ; 184.141 ; 129.199 ; 164.717 ; 145.993 ; 147.565 ; 166.065 ; 171.047 ; 155.241 ; 144.039 ; 163.510 ; 157.733 ; 194.599 
137;IP-TC;IP - TERCER CARRIL;CHINAUTA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 733.765 ; 25.302 ; 16.893 ; 17.887 ; 21.531 ; 17.472 ; 22.030 ; 22.877 ; 20.155 ; 17.841 ; 21.095 ; 19.779 ; 25.437 ; 797.079 ; 476.611 ; 664.646 ; 529.305 ; 536.160 ; 690.043 ; 721.114 ; 633.166 ; 554.767 ; 668.129 ; 625.005 ; 775.166 
138;IP-TC;IP - TERCER CARRIL;CHUSACA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 927.587 ; 30.334 ; 21.716 ; 22.655 ; 26.617 ; 22.433 ; 27.203 ; 27.964 ; 25.191 ; 22.613 ; 26.172 ; 25.128 ; 31.680 ; 950.891 ; 611.014 ; 830.465 ; 674.230 ; 682.220 ; 845.407 ; 870.132 ; 783.549 ; 702.719 ; 839.977 ; 791.663 ; 975.938 
139;IP-VP;IP - VÍA AL PUERTO;LOBOGUERRERO; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 114.614 ; 159.694 ; 162.914 ; 4.501 ; 5.269 ; 4.563 ; 5.282 ; 2.966 ; 5.730 ; 5.565 ; 5.354 ; 5.293 ; 5.157 ; 5.114 ; 5.188 ; 168.777 ; 141.513 ; 160.978 ; 152.073 ; 160.946 ; 165.199 ; 176.492 ; 190.031 ; 173.616 ; 178.367 ; 166.294 ; 176.831 
140;IP-VN;IP - VÍA DEL NUS;CISNEROS; -   ; -   ; -   ; 19.594 ; 47.667 ; 50.202 ; 50.285 ; 51.395 ; 46.178 ; 52.571 ; 51.021 ; 63.034 ; 2.192 ; 1.589 ; 1.597 ; 1.803 ; 1.609 ; 1.754 ; 1.738 ; 1.686 ; 1.584 ; 1.727 ; 1.720 ; 2.207 ; 69.598 ; 48.062 ; 59.421 ; 55.303 ; 55.037 ; 63.487 ; 61.606 ; 59.146 ; 56.575 ; 61.488 ; 57.370 ; 72.715 
141;POC;PERIMETRAL DE ORIENTE DE CUNDINAMARCA;LA CABAÑA; 59.250 ; 50.147 ; 57.752 ; 50.772 ; 58.128 ; 55.660 ; 57.389 ; 56.902 ; 51.633 ; 55.783 ; 53.610 ; 56.251 ; 1.854 ; 1.796 ; 1.730 ; 1.830 ; 1.722 ; 1.633 ; 1.667 ; 1.685 ; 1.572 ; 1.639 ; 1.585 ; 1.640 ; 51.172 ; 42.861 ; 47.801 ; 41.754 ; 37.042 ; 32.871 ; 30.919 ; 32.202 ; 35.393 ; 40.209 ; 45.235 ; 52.613 
142;POC;PERIMETRAL DE ORIENTE DE CUNDINAMARCA;PATIOS; 142.677 ; 137.255 ; 143.846 ; 145.237 ; 153.732 ; 145.847 ; 143.789 ; 145.099 ; 143.766 ; 145.712 ; 140.530 ; 152.842 ; 4.458 ; 4.721 ; 4.610 ; 4.582 ; 4.619 ; 4.483 ; 4.274 ; 4.426 ; 4.326 ; 4.159 ; 4.272 ; 4.478 ; 126.042 ; 119.737 ; 134.256 ; 126.293 ; 129.445 ; 120.884 ; 105.789 ; 113.652 ; 113.956 ; 118.015 ; 123.116 ; 141.107 
143;PHC;PUERTA DE HIERRO - CRUZ DEL VISO;CALAMAR; 97.215 ; 75.682 ; 91.891 ; 72.393 ; 79.594 ; 76.838 ; 80.567 ; 80.841 ; 75.210 ; 81.702 ; 78.547 ; 95.384 ; 3.039 ; 2.559 ; 2.490 ; 2.878 ; 2.489 ; 2.689 ; 2.645 ; 2.556 ; 2.437 ; 2.580 ; 2.656 ; 3.091 ; 92.602 ; 68.229 ; 83.621 ; 76.497 ; 71.417 ; 71.198 ; 78.782 ; 76.131 ; 71.013 ; 77.759 ; 76.433 ; 92.234 
144;PHC;PUERTA DE HIERRO - CRUZ DEL VISO;EL CARMEN; 127.543 ; 93.046 ; 114.505 ; 93.310 ; 99.686 ; 98.885 ; 102.272 ; 105.760 ; 98.755 ; 110.440 ; 105.912 ; 130.226 ; 4.292 ; 3.348 ; 3.319 ; 3.785 ; 3.258 ; 3.525 ; 3.496 ; 3.368 ; 3.303 ; 3.504 ; 3.592 ; 4.201 ; 131.486 ; 90.567 ; 111.073 ; 102.785 ; 94.591 ; 95.824 ; 107.793 ; 103.273 ; 96.638 ; 106.857 ; 103.684 ; 124.633 
145;RP;RUMICHACA - PASTO;EL PLACER; 208.113 ; 170.098 ; 196.233 ; 181.944 ; 191.710 ; 148.897 ; 171.091 ; 218.581 ; 183.318 ; 190.771 ; 191.326 ; 223.790 ; 6.797 ; 5.940 ; 5.569 ; 6.044 ; 5.735 ; 5.924 ; 6.395 ; 6.296 ; 5.985 ; 5.907 ; 6.075 ; 7.085 ; 212.383 ; 166.550 ; 197.465 ; 183.944 ; 188.553 ; 187.283 ; 202.059 ; 195.734 ; 179.559 ; 182.497 ; 172.724 ; 198.026 
146;SMN;SANTANA-MOCOA-NEIVA;ALTAMIRA; 111.120 ; 84.031 ; 101.005 ; 89.415 ; 96.922 ; 92.988 ; 97.479 ; 104.534 ; 101.744 ; 113.812 ; 111.004 ; 125.534 ; 3.804 ; 3.175 ; 3.191 ; 3.524 ; 3.065 ; 3.314 ; 3.318 ; 3.309 ; 3.159 ; 3.271 ; 3.364 ; 3.804 ; 101.016 ; 85.340 ; 98.276 ; 93.962 ; 93.823 ; 91.076 ; 97.179 ; 94.174 ; 88.958 ; 89.538 ; 88.780 ; 112.008 
147;SMN;SANTANA-MOCOA-NEIVA;LOS CAUCHOS; 178.548 ; 142.711 ; 163.229 ; 148.280 ; 158.264 ; 155.178 ; 160.506 ; 164.369 ; 157.680 ; 169.879 ; 165.432 ; 190.735 ; 5.557 ; 4.568 ; 4.927 ; 5.296 ; 4.880 ; 5.315 ; 5.357 ; 5.216 ; 5.083 ; 5.153 ; 5.218 ; 6.063 ; 175.755 ; 134.753 ; 159.997 ; 143.921 ; 144.695 ; 150.635 ; 157.955 ; 155.363 ; 146.853 ; 160.183 ; 155.233 ; 183.518 
148;TVS;TRANSVERSAL DEL SISGA;MACHETA; 72.094 ; 44.988 ; 58.182 ; 44.078 ; 54.480 ; 52.568 ; 51.303 ; 52.411 ; 48.807 ; 57.399 ; 55.171 ; 64.265 ; 2.328 ; 1.576 ; 1.606 ; 1.890 ; 1.630 ; 1.799 ; 1.755 ; 1.704 ; 1.609 ; 1.782 ; 1.788 ; 2.178 ; 69.726 ; 45.418 ; 56.748 ; 45.836 ; 48.571 ; 51.736 ; 49.424 ; 49.533 ; 44.658 ; 55.233 ; 55.079 ; 68.252 
149;VY;VILLAVICENCIO-YOPAL;PUENTE AMARILLO; 343.383 ; 263.257 ; 302.219 ; 261.428 ; 282.668 ; 271.290 ; 295.371 ; 290.176 ; 275.589 ; 291.576 ; 280.986 ; 323.012 ; 10.558 ; 9.083 ; 9.113 ; 9.795 ; 9.013 ; 9.347 ; 9.299 ; 9.697 ; 9.249 ; 9.606 ; 9.604 ; 11.152 ; 333.206 ; 258.196 ; 309.511 ; 274.811 ; 282.843 ; 282.422 ; 300.120 ; 298.501 ; 281.962 ; 304.137 ; 297.958 ; 348.076 
150;VY;VILLAVICENCIO-YOPAL;SAN PEDRO; 85.122 ; 65.585 ; 74.338 ; 65.591 ; 68.147 ; 69.837 ; 70.869 ; 74.179 ; 66.609 ; 73.338 ; 71.301 ; 83.320 ; 2.720 ; 2.287 ; 2.364 ; 2.565 ; 2.477 ; 2.528 ; 2.444 ; 2.711 ; 2.721 ; 2.502 ; 2.523 ; 2.829 ; 86.552 ; 66.689 ; 76.136 ; 72.343 ; 77.115 ; 76.355 ; 80.658 ; 87.461 ; 77.080 ; 79.908 ; 78.649 ; 91.236 
151;VY;VILLAVICENCIO-YOPAL;VERACRUZ; 122.715 ; 85.834 ; 97.087 ; 83.956 ; 85.356 ; 86.725 ; 89.109 ; 90.817 ; 87.291 ; 92.137 ; 88.134 ; 105.451 ; 3.656 ; 2.981 ; 2.969 ; 3.087 ; 2.941 ; 3.064 ; 2.930 ; 3.242 ; 3.191 ; 3.060 ; 3.035 ; 3.595 ; 114.198 ; 82.852 ; 96.216 ; 87.725 ; 87.860 ; 87.651 ; 93.455 ; 94.608 ; 86.175 ; 93.941 ; 90.363 ; 108.649 
152;ZP;ZIPAQUIRÁ - PALENQUE;CASABLANCA; 327.300 ; 238.905 ; 300.428 ; 243.465 ; 273.766 ; 266.477 ; 277.834 ; 285.758 ; 252.833 ; 293.486 ; 275.877 ; 321.201 ; 10.453 ; 8.376 ; 8.363 ; 9.757 ; 8.321 ; 9.140 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
153;ZP;ZIPAQUIRÁ - PALENQUE;CURITI; 191.839 ; 113.766 ; 154.733 ; 111.937 ; 127.895 ; 128.810 ; 129.025 ; 132.620 ; 119.282 ; 139.235 ; 136.215 ; 171.958 ; 5.967 ; 3.972 ; 4.005 ; 4.972 ; 4.006 ; 4.589 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
154;ZP;ZIPAQUIRÁ - PALENQUE;LOS CUROS; 199.706 ; 129.244 ; 166.923 ; 127.969 ; 141.925 ; 142.636 ; 139.641 ; 149.190 ; 138.273 ; 156.464 ; 153.758 ; 188.645 ; 6.378 ; 4.613 ; 4.550 ; 5.448 ; 4.529 ; 5.063 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
155;ZP;ZIPAQUIRÁ - PALENQUE;OIBA; 157.019 ; 90.282 ; 126.134 ; 90.122 ; 103.540 ; 103.607 ; 100.525 ; 110.136 ; 100.409 ; 117.547 ; 112.604 ; 146.394 ; 5.182 ; 3.351 ; 3.344 ; 4.264 ; 3.351 ; 3.869 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
156;ZP;ZIPAQUIRÁ - PALENQUE;SABOYA; 143.937 ; 77.110 ; 111.526 ; 75.850 ; 93.839 ; 93.138 ; 99.508 ; 98.367 ; 83.069 ; 104.283 ; 97.231 ; 123.093 ; 4.534 ; 2.792 ; 2.839 ; 3.632 ; 2.811 ; 3.296 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
